Source,Target
132,73
132,7
132,104
132,11
132,12
132,98
132,153
132,87
132,78
132,79
132,141
132,82
132,56
132,35
132,154
132,58
132,172
132,22
132,84
132,26
132,85
132,6
132,86
132,142
132,164
132,89
132,155
132,90
132,91
132,88
132,92
132,93
132,127
132,136
132,60
132,76
132,143
132,97
132,173
132,157
132,99
1,2
1,73
1,7
1,27
1,9
1,74
1,10
1,11
1,12
1,14
1,15
1,77
1,153
1,17
1,64
1,81
1,128
1,54
1,55
1,56
1,83
1,21
1,58
1,22
1,23
1,84
1,48
1,6
1,86
1,87
1,164
1,166
1,89
1,155
1,59
1,61
1,133
1,92
1,93
1,94
1,49
1,95
1,25
1,60
1,40
1,97
1,41
1,173
1,157
42,102
42,5
42,167
42,13
42,52
42,8
42,158
42,144
42,165
42,19
42,140
42,101
42,21
42,69
42,125
42,16
42,45
42,126
42,37
42,100
42,46
18,164
18,32
18,158
18,43
18,44
18,19
18,13
18,20
18,34
18,16
18,37
47,48
47,49
50,86
50,2
50,89
50,103
50,6
50,7
50,9
50,48
50,10
50,49
50,61
50,130
50,41
50,173
50,106
50,62
50,39
182,86
182,60
182,166
182,9
182,82
182,133
182,21
182,77
182,97
182,25
182,94
182,183
71,61
71,6
71,7
71,27
71,54
71,49
71,164
71,14
71,21
71,22
71,23
71,41
71,94
71,155
71,173
71,128
71,166
72,73
72,104
72,92
72,12
72,98
72,153
72,80
72,78
72,79
72,141
72,82
72,84
72,26
72,86
72,169
72,88
72,184
72,168
72,90
72,185
72,35
72,99
72,93
72,97
72,157
186,52
186,109
186,67
186,69
19,52
19,178
19,165
19,150
19,13
19,101
19,16
19,45
19,5
19,20
19,21
19,69
19,167
19,28
19,164
19,32
19,158
19,144
19,44
19,140
19,43
19,34
19,125
19,126
19,37
19,187
19,102
19,46
56,2
56,4
56,73
56,7
56,27
56,9
56,74
56,10
56,11
56,49
56,75
56,14
56,76
56,15
56,77
56,105
56,153
56,17
56,78
56,79
56,141
56,128
56,54
56,64
56,81
56,175
56,82
56,55
56,83
56,154
56,21
56,58
56,172
56,22
56,23
56,84
56,48
56,26
56,85
56,6
56,86
56,87
56,29
56,142
56,164
56,166
56,89
56,155
56,59
56,61
56,133
56,91
56,88
56,92
56,173
56,93
56,94
56,12
56,95
56,136
56,60
56,90
56,188
56,25
56,35
56,143
56,40
56,97
56,41
56,98
56,157
56,99
23,2
23,4
23,6
23,7
23,27
23,9
23,74
23,10
23,11
23,12
23,14
23,15
23,77
23,153
23,17
23,64
23,79
23,80
23,128
23,54
23,55
23,81
23,82
23,83
23,21
23,58
23,172
23,22
23,25
23,48
23,26
23,86
23,87
23,29
23,164
23,166
23,89
23,127
23,155
23,59
23,61
23,133
23,91
23,88
23,94
23,49
23,95
23,136
23,60
23,189
23,35
23,40
23,97
23,41
23,173
24,37
24,167
24,52
24,144
24,165
24,140
24,21
24,69
24,45
24,126
24,102
24,100
24,46
25,2
25,4
25,6
25,7
25,27
25,9
25,74
25,10
25,11
25,12
25,75
25,15
25,77
25,153
25,17
25,64
25,79
25,128
25,54
25,55
25,81
25,187
25,82
25,83
25,21
25,58
25,172
25,22
25,48
25,26
25,86
25,87
25,169
25,164
25,166
25,89
25,155
25,59
25,61
25,133
25,35
25,92
25,94
25,49
25,95
25,136
25,183
25,60
25,189
25,14
25,40
25,97
25,41
25,173
62,103
62,49
62,130
62,106
62,48
62,39
26,2
26,73
26,7
26,27
26,9
26,74
26,10
26,11
26,12
26,14
26,76
26,15
26,77
26,153
26,80
26,78
26,79
26,141
26,54
26,55
26,82
26,35
26,21
26,58
26,172
26,22
26,59
26,6
26,86
26,87
26,142
26,164
26,104
26,166
26,89
26,184
26,90
26,61
26,133
26,91
26,88
26,92
26,173
26,93
26,49
26,95
26,84
26,60
26,48
26,185
26,143
26,40
26,97
26,41
26,98
26,157
26,99
85,2
85,6
85,7
85,9
85,10
85,92
85,12
85,14
85,76
85,77
85,79
85,141
85,82
85,55
85,22
85,84
85,166
85,60
85,99
85,40
85,41
85,157
69,5
69,52
69,109
69,67
69,165
69,13
69,118
69,101
69,16
69,45
69,113
69,167
69,108
69,70
69,158
69,144
69,140
69,125
69,145
69,126
69,37
69,100
69,102
69,123
69,124
69,46
167,5
167,52
167,165
167,13
167,101
167,16
167,45
167,21
167,108
167,158
167,144
167,140
167,34
167,125
167,145
167,126
167,37
167,100
167,102
167,46
90,3
90,73
90,7
90,104
90,11
90,12
90,75
90,98
90,77
90,153
90,17
90,78
90,79
90,141
90,54
90,82
90,35
90,58
90,172
90,22
90,84
90,6
90,86
90,87
90,142
90,164
90,178
90,89
90,184
90,155
90,60
90,61
90,91
90,88
90,92
90,173
90,93
90,94
90,80
90,185
90,97
90,41
90,76
90,157
90,99
140,5
140,52
140,165
140,13
140,101
140,16
140,45
140,21
140,108
140,158
140,144
140,125
140,145
140,126
140,37
140,100
140,102
140,46
133,2
133,4
133,6
133,7
133,27
133,9
133,74
133,10
133,11
133,12
133,15
133,77
133,153
133,105
133,17
133,64
133,79
133,128
133,54
133,55
133,82
133,83
133,21
133,58
133,172
133,22
133,48
133,86
133,87
133,169
133,164
133,166
133,89
133,155
133,59
133,61
133,91
133,35
133,92
133,94
133,49
133,95
133,136
133,183
133,60
133,14
133,40
133,97
133,41
133,173
133,99
34,5
34,52
34,178
34,165
34,150
34,13
34,101
34,16
34,45
34,20
34,21
34,28
34,164
34,32
34,158
34,144
34,44
34,43
34,190
34,126
34,37
34,187
34,46
35,2
35,4
35,73
35,7
35,9
35,74
35,10
35,11
35,12
35,75
35,14
35,76
35,15
35,77
35,106
35,153
35,80
35,78
35,79
35,141
35,59
35,64
35,55
35,136
35,82
35,58
35,22
35,48
35,6
35,86
35,87
35,164
35,104
35,166
35,89
35,184
35,61
35,185
35,88
35,92
35,93
35,49
35,95
35,84
35,60
35,40
35,97
35,41
35,173
35,157
35,99
125,5
125,52
125,165
125,101
125,45
125,126
125,102
145,108
145,37
145,5
145,13
145,52
145,46
145,158
145,144
145,165
145,101
145,21
145,45
145,126
145,102
126,5
126,52
126,178
126,165
126,13
126,101
126,16
126,45
126,21
126,108
126,158
126,144
126,37
126,100
126,102
126,46
37,5
37,52
37,8
37,178
37,165
37,150
37,13
37,101
37,16
37,45
37,20
37,21
37,28
37,108
37,164
37,70
37,32
37,158
37,144
37,44
37,43
37,100
37,102
37,46
189,86
189,2
189,166
189,74
189,41
189,21
189,40
40,2
40,4
40,6
40,7
40,27
40,9
40,74
40,10
40,11
40,49
40,14
40,15
40,77
40,153
40,17
40,64
40,79
40,128
40,54
40,55
40,187
40,82
40,21
40,58
40,172
40,22
40,59
40,86
40,87
40,169
40,164
40,166
40,89
40,127
40,155
40,60
40,61
40,91
40,92
40,94
40,12
40,95
40,136
40,48
40,97
40,41
40,173
97,2
97,3
97,4
97,73
97,7
97,27
97,9
97,74
97,10
97,11
97,49
97,75
97,76
97,15
97,77
97,153
97,80
97,78
97,79
97,141
97,128
97,54
97,64
97,55
97,164
97,82
97,83
97,21
97,58
97,22
97,48
97,6
97,86
97,87
97,169
97,59
97,14
97,88
97,178
97,166
97,89
97,142
97,184
97,168
97,61
97,185
97,92
97,137
97,173
97,93
97,94
97,12
97,95
97,84
97,183
97,60
97,104
97,91
97,143
97,41
97,98
97,157
97,155
97,99
41,2
41,4
41,73
41,7
41,27
41,9
41,74
41,10
41,11
41,12
41,75
41,14
41,15
41,77
41,153
41,106
41,105
41,17
41,64
41,79
41,80
41,128
41,54
41,55
41,164
41,82
41,83
41,21
41,58
41,22
41,48
41,6
41,86
41,87
41,29
41,59
41,88
41,166
41,89
41,155
41,61
41,91
41,92
41,94
41,49
41,95
41,136
41,60
41,169
41,173
41,99
173,2
173,4
173,6
173,7
173,27
173,9
173,74
173,10
173,11
173,12
173,75
173,14
173,15
173,77
173,153
173,17
173,64
173,79
173,141
173,128
173,54
173,55
173,81
173,136
173,82
173,21
173,58
173,172
173,22
173,59
173,86
173,87
173,164
173,166
173,89
173,155
173,61
173,92
173,94
173,49
173,95
173,84
173,60
173,76
173,48
173,98
173,157
173,99
102,5
102,52
102,8
102,165
102,13
102,101
102,16
102,45
102,21
102,108
102,158
102,144
102,100
102,46
157,4
157,73
157,9
157,178
157,11
157,12
157,76
157,77
157,153
157,80
157,78
157,79
157,141
157,64
157,98
157,164
157,82
157,58
157,172
157,22
157,84
157,6
157,86
157,87
157,142
157,88
157,74
157,89
157,184
157,155
157,91
157,92
157,93
157,136
157,60
157,104
157,185
157,99
123,52
123,109
123,67
123,113
123,124
124,52
124,109
124,67
124,113
46,5
46,52
46,178
46,165
46,13
46,101
46,16
46,45
46,20
46,21
46,108
46,32
46,158
46,144
46,44
46,100
2,4
2,6
2,7
2,27
2,9
2,74
2,10
2,11
2,12
2,75
2,14
2,15
2,77
2,153
2,105
2,17
2,64
2,79
2,128
2,54
2,55
2,187
2,82
2,83
2,21
2,58
2,172
2,22
2,48
2,86
2,87
2,164
2,166
2,89
2,155
2,59
2,61
2,91
2,92
2,137
2,94
2,49
2,95
2,136
2,60
2,143
2,99
103,48
103,49
103,130
103,106
103,163
73,3
73,6
73,7
73,74
73,11
73,49
73,76
73,153
73,80
73,78
73,79
73,141
73,82
73,84
73,86
73,87
73,169
73,142
73,88
73,104
73,89
73,184
73,168
73,91
73,92
73,93
73,12
73,60
73,185
73,98
73,155
73,99
7,4
7,27
7,9
7,74
7,10
7,11
7,12
7,75
7,14
7,15
7,77
7,153
7,17
7,64
7,79
7,128
7,54
7,29
7,55
7,187
7,82
7,21
7,58
7,22
7,59
7,6
7,86
7,87
7,169
7,164
7,166
7,89
7,155
7,61
7,91
7,92
7,94
7,49
7,95
7,136
7,60
7,48
8,45
8,165
9,4
9,6
9,27
9,74
9,10
9,11
9,12
9,75
9,15
9,77
9,153
9,105
9,87
9,78
9,79
9,141
9,128
9,54
9,64
9,55
9,81
9,136
9,82
9,188
9,21
9,58
9,172
9,22
9,59
9,86
9,29
9,164
9,166
9,89
9,184
9,155
9,60
9,61
9,91
9,92
9,137
9,93
9,94
9,49
9,95
9,84
9,183
9,48
9,14
9,99
104,11
104,12
104,76
104,153
104,80
104,78
104,79
104,141
104,82
104,84
104,86
104,88
104,184
104,185
104,92
104,93
104,99
165,5
165,52
165,13
165,101
165,16
165,45
165,21
165,108
165,70
165,158
165,144
165,100
11,4
11,27
11,10
11,92
11,12
11,75
11,14
11,76
11,15
11,77
11,153
11,17
11,78
11,79
11,141
11,128
11,54
11,64
11,55
11,81
11,98
11,164
11,82
11,154
11,21
11,58
11,172
11,22
11,59
11,6
11,86
11,87
11,29
11,142
11,88
11,74
11,166
11,89
11,61
11,91
11,99
11,93
11,94
11,49
11,95
11,84
11,60
11,48
11,143
12,3
12,4
12,10
12,49
12,75
12,14
12,76
12,15
12,77
12,153
12,80
12,78
12,79
12,141
12,128
12,59
12,64
12,55
12,98
12,164
12,136
12,82
12,58
12,172
12,22
12,48
12,6
12,86
12,87
12,169
12,142
12,88
12,74
12,166
12,89
12,184
12,168
12,61
12,91
12,92
12,93
12,127
12,95
12,84
12,187
12,60
12,185
12,143
12,155
12,99
150,5
150,178
150,158
150,13
150,20
150,16
13,5
13,52
13,178
13,101
13,16
13,45
13,20
13,21
13,108
13,32
13,158
13,144
13,44
13,43
13,190
13,100
14,4
14,6
14,27
14,74
14,10
14,15
14,77
14,153
14,105
14,87
14,64
14,79
14,175
14,128
14,54
14,55
14,81
14,82
14,83
14,21
14,58
14,22
14,48
14,86
14,169
14,164
14,166
14,89
14,59
14,61
14,91
14,92
14,94
14,49
14,95
14,136
14,60
14,99
76,3
76,75
76,98
76,77
76,153
76,80
76,78
76,79
76,141
76,164
76,82
76,154
76,58
76,172
76,22
76,84
76,6
76,86
76,87
76,88
76,89
76,91
76,92
76,93
76,127
76,60
76,143
76,99
130,48
130,49
130,191
130,106
130,53
130,163
77,4
77,6
77,27
77,74
77,10
77,75
77,15
77,153
77,17
77,64
77,79
77,128
77,54
77,55
77,81
77,136
77,82
77,83
77,21
77,58
77,22
77,59
77,86
77,87
77,164
77,166
77,89
77,155
77,61
77,91
77,92
77,93
77,94
77,49
77,95
77,84
77,183
77,60
77,99
16,5
16,52
16,178
16,101
16,45
16,20
16,21
16,28
16,164
16,32
16,158
16,144
16,44
16,43
16,187
106,48
106,49
45,5
45,52
45,101
45,20
45,21
45,108
45,70
45,158
45,144
45,100
175,86
175,164
175,15
175,87
175,6
128,4
128,6
128,27
128,74
128,10
128,15
128,87
128,64
128,81
128,59
128,55
128,21
128,58
128,22
128,54
128,86
128,164
128,166
128,89
128,155
128,61
128,94
128,49
128,95
128,48
163,48
86,4
86,27
86,10
86,99
86,15
86,153
86,17
86,78
86,79
86,59
86,64
86,55
86,81
86,98
86,164
86,141
86,82
86,83
86,21
86,58
86,172
86,22
86,54
86,6
86,87
86,142
86,88
86,74
86,166
86,89
86,184
86,155
86,61
86,185
86,92
86,137
86,93
86,94
86,49
86,95
86,136
86,80
86,183
86,187
86,60
86,84
86,48
86,91
108,5
108,52
108,109
108,158
108,144
108,101
108,21
108,100
108,67
164,4
164,6
164,27
164,74
164,10
164,49
164,15
164,153
164,17
164,78
164,79
164,59
164,82
164,64
164,55
164,81
164,98
164,141
164,20
164,21
164,58
164,172
164,22
164,54
164,87
164,29
164,166
164,32
164,89
164,158
164,44
164,155
164,61
164,99
164,137
164,93
164,94
164,95
164,136
164,84
164,60
164,48
164,75
164,43
164,92
164,91
166,4
166,6
166,27
166,74
166,10
166,75
166,15
166,153
166,17
166,64
166,79
166,59
166,55
166,81
166,187
166,82
166,83
166,21
166,58
166,88
166,54
166,87
166,89
166,22
166,155
166,60
166,61
166,91
166,92
166,137
166,94
166,49
166,95
166,136
166,183
166,48
166,99
32,5
32,158
32,44
32,20
32,21
32,190
32,187
89,3
89,4
89,27
89,74
89,10
89,75
89,15
89,153
89,105
89,87
89,78
89,79
89,141
89,59
89,29
89,64
89,55
89,81
89,98
89,136
89,82
89,21
89,58
89,172
89,88
89,54
89,6
89,169
89,142
89,22
89,184
89,155
89,61
89,91
89,92
89,137
89,93
89,94
89,49
89,95
89,84
89,60
89,48
89,99
158,5
158,52
158,178
158,101
158,20
158,21
158,28
158,144
158,44
158,43
158,190
158,187
158,100
144,5
144,52
144,101
144,20
144,21
144,100
44,5
44,20
155,4
155,27
155,74
155,10
155,92
155,15
155,87
155,78
155,79
155,59
155,64
155,55
155,98
155,82
155,21
155,58
155,22
155,54
155,6
155,142
155,61
155,88
155,99
155,93
155,94
155,95
155,84
60,3
60,4
60,27
60,74
60,10
60,75
60,15
60,153
60,105
60,17
60,78
60,79
60,141
60,59
60,64
60,55
60,98
60,136
60,82
60,21
60,58
60,172
60,88
60,54
60,6
60,87
60,29
60,142
60,61
60,91
60,22
60,93
60,94
60,49
60,95
60,84
60,80
60,183
60,169
60,92
60,99
61,4
61,6
61,27
61,74
61,10
61,75
61,15
61,153
61,17
61,64
61,79
61,59
61,55
61,187
61,82
61,83
61,21
61,58
61,22
61,169
61,54
61,87
61,29
61,91
61,92
61,94
61,49
61,95
61,136
61,48
61,99
43,28
43,20
91,4
91,74
91,10
91,15
91,153
91,80
91,78
91,79
91,141
91,59
91,64
91,55
91,82
91,21
91,58
91,172
91,22
91,84
91,54
91,6
91,87
91,142
91,184
91,88
91,92
91,93
91,94
91,49
91,98
91,99
143,87
143,10
143,75
143,15
143,153
143,64
143,59
143,82
143,154
143,58
143,84
143,6
143,92
143,93
143,99
99,168
99,4
99,10
99,75
99,178
99,15
99,153
99,80
99,78
99,79
99,141
99,54
99,64
99,98
99,82
99,58
99,74
99,88
99,84
99,6
99,87
99,169
99,142
99,172
99,184
99,22
99,93
99,49
99,92
99,185
137,74
137,10
137,55
137,83
137,54
137,15
137,87
137,64
137,6
137,58
190,20
95,4
95,6
95,27
95,74
95,10
95,15
95,87
95,64
95,59
95,55
95,21
95,58
95,22
95,54
95,94
95,49
136,4
136,6
136,74
136,10
136,98
136,15
136,64
136,59
136,55
136,82
136,58
136,22
136,54
136,94
136,49
136,84
185,80
185,92
185,88
185,79
185,184
185,93
185,84
185,78
185,141
4,6
4,27
4,74
4,10
4,75
4,15
4,153
4,17
4,64
4,59
4,55
4,187
4,58
4,22
4,54
4,87
