Source,Target
0,10
0,11
0,12
0,13
0,15
0,16
0,17
0,21
0,28
0,35
0,36
0,41
0,51
0,52
0,54
0,71
0,81
0,83
0,86
0,104
0,133
1,10
1,11
1,12
1,13
1,20
1,25
1,29
1,30
1,33
1,34
1,38
1,40
1,51
1,62
1,102
1,140
2,10
2,11
2,12
2,13
2,14
2,16
2,18
2,21
2,23
2,24
2,26
2,28
2,29
2,32
2,35
2,40
2,42
2,43
2,45
2,49
2,50
2,52
2,53
2,54
2,56
2,59
2,62
2,67
2,69
2,71
2,73
2,78
2,81
2,82
2,83
2,87
2,88
2,91
2,92
2,101
2,104
2,110
2,114
2,115
2,123
2,137
2,138
2,142
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,20
3,21
3,36
3,37
3,45
3,50
3,53
3,61
3,64
3,67
3,72
3,76
3,85
3,87
3,96
3,99
3,121
3,132
3,137
4,10
4,15
4,17
4,42
4,56
4,58
4,63
4,78
4,95
4,116
4,128
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,19
5,20
5,21
5,26
5,30
5,32
5,34
5,35
5,36
5,43
5,44
5,48
5,49
5,50
5,53
5,56
5,71
5,72
5,81
5,83
5,92
5,97
5,100
5,107
5,109
5,121
5,125
5,133
6,10
6,11
6,12
6,14
6,18
6,22
6,23
6,25
6,26
6,33
6,36
6,38
6,41
6,44
6,49
6,55
6,60
6,70
6,90
6,94
6,95
6,117
6,121
6,122
7,10
7,11
7,13
7,14
7,18
7,20
7,36
7,37
7,40
7,45
7,52
7,57
7,59
7,76
7,97
7,113
7,117
8,10
8,11
8,12
8,16
8,18
8,19
8,31
8,45
8,46
8,51
8,55
8,66
8,70
8,98
8,101
8,110
8,114
8,135
8,140
9,10
9,11
9,12
9,13
9,14
9,15
9,19
9,21
9,25
9,27
9,29
9,33
9,40
9,46
9,47
9,56
9,57
9,69
9,89
9,95
9,141
9,144
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,21
10,22
10,24
10,25
10,26
10,28
10,30
10,31
10,35
10,36
10,37
10,38
10,39
10,41
10,42
10,43
10,46
10,47
10,48
10,54
10,62
10,63
10,65
10,77
10,81
10,83
10,84
10,86
10,89
10,92
10,93
10,94
10,96
10,99
10,101
10,108
10,109
10,111
10,116
10,118
10,122
10,131
10,132
10,139
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,22
11,23
11,24
11,25
11,27
11,32
11,34
11,35
11,37
11,38
11,39
11,41
11,42
11,46
11,48
11,49
11,50
11,51
11,53
11,54
11,55
11,56
11,57
11,58
11,60
11,62
11,65
11,67
11,68
11,73
11,84
11,86
11,87
11,89
11,95
11,101
11,102
11,107
11,117
11,118
11,120
11,122
11,138
11,140
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,26
12,30
12,31
12,34
12,36
12,37
12,46
12,48
12,51
12,53
12,55
12,56
12,57
12,58
12,59
12,73
12,74
12,77
12,80
12,82
12,90
12,96
12,100
12,112
12,113
12,118
12,122
12,126
12,127
12,129
12,133
12,137
12,138
12,139
12,141
13,14
13,15
13,16
13,17
13,19
13,21
13,23
13,26
13,27
13,28
13,31
13,35
13,43
13,47
13,59
13,62
13,64
13,65
13,66
13,72
13,73
13,79
13,80
13,82
13,87
13,97
13,105
13,116
13,118
13,124
13,128
13,137
13,139
13,143
13,144
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,24
14,25
14,26
14,28
14,30
14,33
14,36
14,37
14,39
14,41
14,42
14,46
14,47
14,49
14,52
14,67
14,70
14,76
14,78
14,82
14,88
14,90
14,95
14,109
14,120
14,130
15,19
15,20
15,22
15,23
15,24
15,25
15,26
15,27
15,29
15,31
15,32
15,34
15,40
15,43
15,45
15,48
15,54
15,55
15,59
15,64
15,71
15,74
15,83
15,84
15,85
15,91
15,110
15,119
15,120
15,124
15,128
15,135
16,17
16,18
16,19
16,22
16,25
16,26
16,28
16,30
16,31
16,34
16,38
16,39
16,45
16,53
16,63
16,64
16,66
16,72
16,76
16,79
16,86
16,89
16,98
16,115
16,123
16,125
16,142
17,18
17,19
17,22
17,23
17,24
17,25
17,27
17,28
17,30
17,38
17,47
17,52
17,56
17,59
17,61
17,68
17,70
17,73
17,82
17,83
17,84
17,85
17,94
17,100
17,102
17,105
17,109
17,111
17,114
17,127
17,128
17,129
17,133
17,138
17,141
17,142
17,143
18,20
18,22
18,23
18,24
18,26
18,32
18,33
18,34
18,38
18,43
18,48
18,50
18,61
18,74
18,75
18,89
18,96
18,99
18,107
18,111
18,131
18,138
18,139
19,20
19,21
19,24
19,29
19,31
19,32
19,38
19,39
19,41
19,47
19,51
19,55
19,57
19,65
19,66
19,67
19,91
19,94
19,97
19,99
19,108
19,113
19,116
19,119
19,129
19,143
20,23
20,25
20,27
20,28
20,31
20,32
20,46
20,59
20,70
20,75
20,80
20,95
20,96
20,99
20,100
20,103
20,107
20,117
20,119
20,124
20,131
21,22
21,23
21,27
21,28
21,29
21,30
21,31
21,35
21,41
