Source,Target
0,35
0,103
0,134
0,207
0,348
0,425
0,548
0,592
0,594
0,598
0,630
0,656
0,673
0,684
0,693
0,744
0,899
0,908
0,921
0,977
0,986
0,1001
0,1012
0,1050
0,1069
0,1172
0,1179
1,74
1,103
1,114
1,134
1,395
1,531
1,563
1,673
1,764
1,806
1,853
1,878
1,901
1,932
1,1004
1,1131
1,1193
1,1207
1,1237
2,134
2,138
2,146
2,276
2,278
2,295
2,321
2,356
2,386
2,518
2,739
2,794
2,809
2,811
2,909
2,1027
2,1098
2,1117
3,27
3,39
3,73
3,152
3,197
3,205
3,220
3,272
3,294
3,312
3,314
3,353
3,442
3,469
3,506
3,514
3,579
3,614
3,716
3,772
3,779
3,787
3,816
3,863
3,1019
3,1030
3,1088
3,1094
3,1095
3,1108
3,1157
3,1175
3,1207
4,55
4,91
4,154
4,164
4,173
4,183
4,325
4,438
4,465
4,526
4,532
4,584
4,676
4,681
4,683
4,897
4,915
4,938
4,1034
4,1047
4,1094
4,1248
5,7
5,131
5,136
5,193
5,285
5,291
5,390
5,430
5,586
5,597
5,604
5,699
5,706
5,715
5,804
5,838
5,924
5,947
5,949
5,1011
5,1015
5,1070
5,1171
5,1194
6,155
6,171
6,222
6,298
6,364
6,396
6,452
6,467
6,490
6,622
6,758
6,832
6,983
6,990
6,1028
6,1214
7,163
7,221
7,324
7,330
7,408
7,413
7,427
7,496
7,611
7,729
7,734
7,764
7,779
7,927
7,945
7,963
7,1012
7,1096
8,11
8,69
8,111
8,115
8,206
8,226
8,248
8,255
8,326
8,360
8,382
8,446
8,480
8,513
8,681
8,731
8,774
8,775
8,779
8,1018
8,1141
8,1252
9,109
9,131
9,144
9,214
9,226
9,277
9,306
9,330
9,362
9,519
9,536
9,611
9,635
9,646
9,659
9,681
9,687
9,693
9,752
9,794
9,966
9,1014
9,1029
9,1143
9,1222
9,1229
10,144
10,200
10,220
10,232
10,393
10,480
10,489
10,511
10,538
10,659
10,736
10,737
10,791
10,921
10,940
10,975
10,1017
10,1021
10,1130
10,1238
10,1239
10,1244
11,43
11,174
11,183
11,230
11,289
11,320
11,459
11,504
11,638
11,671
11,686
11,750
11,775
11,808
11,969
11,1050
11,1084
11,1136
11,1170
11,1212
11,1240
12,77
12,96
12,118
12,227
12,316
12,326
12,365
12,377
12,410
12,514
12,530
12,592
12,726
12,779
12,833
12,976
12,984
12,1114
13,35
13,36
13,144
13,148
13,192
13,274
13,281
13,300
13,309
13,371
13,400
13,481
13,527
13,554
13,639
13,641
13,689
13,746
13,791
13,857
13,868
13,879
13,887
13,907
13,957
13,991
14,21
14,27
14,44
14,60
14,78
14,83
14,84
14,158
14,270
14,300
14,351
14,387
14,398
14,440
14,480
14,483
14,569
14,574
14,622
14,649
14,717
14,719
14,754
14,784
14,797
14,850
14,896
14,960
14,1068
14,1107
14,1124
15,20
15,26
15,53
15,130
15,138
15,158
15,164
15,248
15,392
15,437
15,446
15,545
15,596
15,650
15,674
15,710
15,777
15,837
15,856
15,857
15,871
15,1033
15,1044
15,1070
15,1114
15,1116
15,1122
15,1158
15,1167
16,30
16,59
16,60
16,109
16,160
16,188
16,354
16,510
16,556
16,621
16,632
16,719
16,808
16,824
16,954
16,971
16,1019
16,1164
16,1177
16,1194
17,36
17,38
17,65
17,97
17,108
17,116
17,209
17,211
17,222
17,257
17,301
17,310
17,394
17,504
17,528
17,547
17,675
17,690
17,787
17,816
17,829
17,832
17,882
17,884
17,890
17,975
17,1029
17,1175
17,1206
17,1212
17,1230
18,99
18,124
18,228
18,245
18,298
18,346
18,404
18,423
18,441
18,485
18,512
18,522
18,536
18,567
18,603
18,604
18,680
18,687
18,771
18,841
18,882
18,896
18,912
18,997
19,164
19,226
19,245
19,265
19,329
19,374
19,471
19,478
19,512
19,555
19,673
19,723
19,804
19,835
19,861
19,868
19,894
19,955
19,1020
19,1033
19,1099
19,1120
19,1161
19,1219
20,148
20,149
20,370
20,374
20,432
20,448
20,524
20,695
20,742
20,755
20,760
20,792
20,803
20,810
20,813
20,852
20,931
20,964
20,996
20,1013
20,1017
20,1038
20,1047
20,1094
20,1122
20,1134
20,1173
20,1174
21,43
21,74
21,91
21,121
21,151
21,210
21,283
21,291
21,324
21,333
21,452
21,463
21,510
21,579
21,753
21,759
21,773
21,845
21,857
21,881
21,884
21,980
21,1007
21,1096
22,62
22,69
22,174
22,183
22,204
22,213
22,216
22,235
22,366
22,383
22,458
22,462
22,485
22,525
22,537
22,626
22,627
22,707
22,923
22,938
22,1034
22,1067
22,1070
22,1094
22,1156
23,108
23,152
23,187
23,256
23,322
23,523
23,550
23,622
23,651
23,922
23,965
23,1011
23,1079
23,1089
23,1105
23,1125
23,1146
24,31
24,64
24,73
24,79
24,203
24,340
24,376
24,426
24,447
24,463
24,513
24,527
24,563
24,585
24,609
24,670
24,712
24,730
24,768
24,801
24,825
24,854
24,861
24,871
24,1026
24,1028
24,1034
24,1089
24,1178
24,1250
25,52
25,86
25,107
25,110
25,135
25,176
25,227
25,268
25,285
25,289
25,333
25,372
25,408
25,438
25,464
25,484
25,525
25,666
25,699
25,1029
25,1048
25,1124
25,1128
25,1134
25,1147
25,1191
25,1207
26,85
26,114
26,115
26,166
26,236
26,276
26,299
26,331
26,373
26,456
26,510
26,599
26,615
26,618
26,623
26,645
26,718
26,762
26,880
26,890
26,1061
26,1086
26,1125
26,1184
26,1192
26,1213
26,1217
27,60
27,206
27,219
27,364
27,396
27,439
27,458
27,482
27,496
27,532
27,619
27,679
27,680
27,723
27,767
27,770
27,785
27,865
27,950
27,991
27,992
27,1034
27,1092
27,1117
28,43
28,69
28,70
28,75
28,81
28,129
28,195
28,228
28,250
28,290
28,293
28,295
28,296
28,533
28,548
28,670
28,791
28,808
28,820
28,825
28,956
28,987
28,992
28,1016
28,1246
29,58
29,110
29,149
29,156
29,182
29,192
29,285
29,340
29,343
29,385
29,434
29,615
29,663
29,685
29,724
29,734
29,770
29,802
29,891
29,966
29,1073
29,1086
29,1236
29,1238
30,67
30,113
30,139
30,145
30,149
30,150
30,159
30,211
30,230
30,262
30,295
30,306
30,373
30,374
30,405
30,485
30,561
30,581
30,591
30,605
30,623
30,776
30,826
30,849
30,868
30,880
30,886
30,944
30,972
30,988
30,999
30,1007
30,1026
30,1039
